customer_id,name,email,age,gender,annual_income,total_purchases,avg_purchase_value,days_since_last_purchase,customer_satisfaction,churn
a3071abd-8922-4608-95af-676364cb411d,Erica Powers,houseariana@example.net,56,Male,41672,11,170.75,14,5,0
114a0236-61b3-4447-964c-dbe6ac3d0773,Sarah Jones,ufranklin@example.org,46,Female,78217,9,63.17,8,4,0
c2fcf312-df91-400a-ab0e-822c1fab051a,Jaime Peterson,james10@example.com,32,Female,28279,10,55.09,8,2,0
7885497e-eb68-4c32-b4a3-b110d6af8aae,Rebecca Wolfe,pricedustin@example.org,60,Female,17017,15,110.88,18,4,0
b212448f-04ae-4943-a90e-0c8500b486fc,Kenneth Peterson,qwyatt@example.net,25,Male,56600,10,158.37,42,3,1
539742e8-319f-475e-a05f-2cb5840a38ab,Brenda Collins,jasonlee@example.net,38,Male,42469,6,31.15,6,5,0
6feaa27d-0cfe-4aa4-9182-146ff06a46f7,Robert Fitzgerald,twilson@example.org,56,Male,34681,6,123.83,37,3,0
10b503cd-2598-4bf1-931d-78fa61726720,Chris Preston,qmartinez@example.com,36,Male,60625,8,41.46,0,3,1
ff641f8b-9ca6-477e-a075-52f885d3a698,Brittany Shaffer,brian01@example.org,40,Male,53657,16,26.56,16,2,1
0216b5f7-88f3-4158-a52c-4af58a3e68be,Joseph Hampton,apeters@example.net,28,Male,41538,10,29.49,44,1,0
7ab78049-2fac-407e-b979-daa8bb9da671,Robin Vincent,ericoliver@example.com,28,Male,30795,11,170.15,12,3,0
1a96fbe2-6db6-4147-834d-61261aa581a2,Zachary Wright,sfernandez@example.org,41,Male,63086,8,41.24,24,4,1
72a7c37e-8fa1-4488-b866-b69beaff7b5d,Lisa Ortega,juliareilly@example.org,53,Female,59753,13,28.13,6,1,0
54160c14-ae52-4dc4-a3b7-ddc5771861e9,James Downs,larry55@example.org,57,Female,48512,10,98.82,40,4,0
92fc9e08-ad03-42d5-ac3d-25d39c60c645,Ashley Warren,pjones@example.org,41,Male,77699,13,171.92,1,4,0
752882de-c9f5-470d-8352-df06bc8914fb,Gary Bernard MD,ngarner@example.org,20,Male,33948,7,67.23,57,1,0
2ac9ccdd-6b2c-4ab3-89a2-7fadc8ad6b2c,Christopher Walker,catherine46@example.net,39,Female,27117,14,95.91,6,1,0
19771ba6-c7ff-40a1-a88b-f22ef0b96e62,Michael Wade,sherry78@example.net,19,Male,39621,9,27.19,62,4,1
0eee3e5b-b8fd-4a68-b9f0-a26aa921cdd5,Angela Powell,riverakaren@example.com,41,Male,49316,12,100.83,13,2,0
